ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B01698J0RU,https://www.amazon.com/dp/B01698J0RU,https://www.amazon.ca/dp/B01698J0RU,23.5,34.99,11.49,48.89
B074NH61RT,https://www.amazon.com/dp/B074NH61RT,https://www.amazon.ca/dp/B074NH61RT,33.8,49.99,16.19,47.9
B08G8MGJ97,https://www.amazon.com/dp/B08G8MGJ97,https://www.amazon.ca/dp/B08G8MGJ97,43.99,64.99,21.0,47.74
B00NWPUKMS,https://www.amazon.com/dp/B00NWPUKMS,https://www.amazon.ca/dp/B00NWPUKMS,18.99,27.99,9.0,47.39
B07P8NXQF4,https://www.amazon.com/dp/B07P8NXQF4,https://www.amazon.ca/dp/B07P8NXQF4,16.99,24.99,8.0,47.09
B0C6FDRRP3,https://www.amazon.com/dp/B0C6FDRRP3,https://www.amazon.ca/dp/B0C6FDRRP3,33.99,49.99,16.0,47.07
B07PY5M579,https://www.amazon.com/dp/B07PY5M579,https://www.amazon.ca/dp/B07PY5M579,135.99,199.99,64.0,47.06
B08ZSXD1BR,https://www.amazon.com/dp/B08ZSXD1BR,https://www.amazon.ca/dp/B08ZSXD1BR,14.99,21.99,7.0,46.7
B07WVNW73L,https://www.amazon.com/dp/B07WVNW73L,https://www.amazon.ca/dp/B07WVNW73L,14.99,21.99,7.0,46.7
B07HRCDDL1,https://www.amazon.com/dp/B07HRCDDL1,https://www.amazon.ca/dp/B07HRCDDL1,12.99,18.99,6.0,46.19
B07YBVR46Y,https://www.amazon.com/dp/B07YBVR46Y,https://www.amazon.ca/dp/B07YBVR46Y,12.99,18.99,6.0,46.19
B09XJD6FRP,https://www.amazon.com/dp/B09XJD6FRP,https://www.amazon.ca/dp/B09XJD6FRP,9.98,14.54,4.56,45.69
B003PSJ7F8,https://www.amazon.com/dp/B003PSJ7F8,https://www.amazon.ca/dp/B003PSJ7F8,10.98,15.98,5.0,45.54
B0B6B4M7BT,https://www.amazon.com/dp/B0B6B4M7BT,https://www.amazon.ca/dp/B0B6B4M7BT,25.48,36.98,11.5,45.13
B07YQDFRYR,https://www.amazon.com/dp/B07YQDFRYR,https://www.amazon.ca/dp/B07YQDFRYR,15.16,21.99,6.83,45.05
B07PZF3QS3,https://www.amazon.com/dp/B07PZF3QS3,https://www.amazon.ca/dp/B07PZF3QS3,7.28,10.47,3.19,43.82
B07CSKGLMM,https://www.amazon.com/dp/B07CSKGLMM,https://www.amazon.ca/dp/B07CSKGLMM,97.93,139.93,42.0,42.89
B08F72TY67,https://www.amazon.com/dp/B08F72TY67,https://www.amazon.ca/dp/B08F72TY67,34.99,49.99,15.0,42.87
B003AKIGFS,https://www.amazon.com/dp/B003AKIGFS,https://www.amazon.ca/dp/B003AKIGFS,27.35,38.98,11.63,42.52
B073V1SPHP,https://www.amazon.com/dp/B073V1SPHP,https://www.amazon.ca/dp/B073V1SPHP,18.49,26.34,7.85,42.46
B0B4RYFZ5M,https://www.amazon.com/dp/B0B4RYFZ5M,https://www.amazon.ca/dp/B0B4RYFZ5M,18.99,26.99,8.0,42.13
B0B6N7CR8C,https://www.amazon.com/dp/B0B6N7CR8C,https://www.amazon.ca/dp/B0B6N7CR8C,18.99,26.99,8.0,42.13
B08CRXK469,https://www.amazon.com/dp/B08CRXK469,https://www.amazon.ca/dp/B08CRXK469,5.99,8.49,2.5,41.74
